marking, episode: 0, score: 250.0, mean_score: 250.00, std_score: 0.00
episode: 5, score: 500.0, epsilon: 0.10
episode: 10, score: 100.0, epsilon: 0.10
episode: 15, score: 550.0, epsilon: 0.10
episode: 20, score: 100.0, epsilon: 0.10
episode: 25, score: 0.0, epsilon: 0.10
episode: 30, score: 350.0, epsilon: 0.10
episode: 35, score: 100.0, epsilon: 0.10
episode: 40, score: 0.0, epsilon: 0.10
episode: 45, score: 0.0, epsilon: 0.10
episode: 50, score: 0.0, epsilon: 0.10
episode: 55, score: 350.0, epsilon: 0.10
episode: 60, score: 0.0, epsilon: 0.10
episode: 65, score: 0.0, epsilon: 0.10
episode: 70, score: 100.0, epsilon: 0.10
episode: 75, score: 100.0, epsilon: 0.10
episode: 80, score: 100.0, epsilon: 0.10
episode: 85, score: 0.0, epsilon: 0.10
episode: 90, score: 0.0, epsilon: 0.10
episode: 95, score: 500.0, epsilon: 0.10
marking, episode: 100, score: 0.0, mean_score: 163.50, std_score: 206.02
episode: 100, score: 0.0, epsilon: 0.10
episode: 105, score: 0.0, epsilon: 0.09
episode: 110, score: 0.0, epsilon: 0.09
episode: 115, score: 0.0, epsilon: 0.09
episode: 120, score: 0.0, epsilon: 0.09
episode: 125, score: 0.0, epsilon: 0.09
episode: 130, score: 0.0, epsilon: 0.09
episode: 135, score: 0.0, epsilon: 0.09
episode: 140, score: 250.0, epsilon: 0.09
episode: 145, score: 250.0, epsilon: 0.09
episode: 150, score: 250.0, epsilon: 0.09
episode: 155, score: 0.0, epsilon: 0.09
episode: 160, score: 0.0, epsilon: 0.09
episode: 165, score: 0.0, epsilon: 0.09
episode: 170, score: 0.0, epsilon: 0.09
episode: 175, score: 0.0, epsilon: 0.09
episode: 180, score: 600.0, epsilon: 0.09
episode: 185, score: 250.0, epsilon: 0.09
episode: 190, score: 0.0, epsilon: 0.09
episode: 195, score: 0.0, epsilon: 0.09
marking, episode: 200, score: 250.0, mean_score: 175.50, std_score: 211.84
episode: 200, score: 250.0, epsilon: 0.09
episode: 205, score: 0.0, epsilon: 0.09
episode: 210, score: 500.0, epsilon: 0.09
episode: 215, score: 0.0, epsilon: 0.09
episode: 220, score: 100.0, epsilon: 0.09
episode: 225, score: 250.0, epsilon: 0.09
episode: 230, score: 200.0, epsilon: 0.09
episode: 235, score: 100.0, epsilon: 0.09
episode: 240, score: 700.0, epsilon: 0.09
episode: 245, score: 100.0, epsilon: 0.09
episode: 250, score: 0.0, epsilon: 0.09
episode: 255, score: 100.0, epsilon: 0.09
episode: 260, score: 100.0, epsilon: 0.09
episode: 265, score: 600.0, epsilon: 0.09
episode: 270, score: 600.0, epsilon: 0.09
